,playerID,Seasons,Last_season,HoF,Awards,WS_titles,allstars,appearances,SO,W,L,G,SV,H,ER,HR,BB,ERA,WHIP,ERA+,FIP
80,mayja01,14,1932,0,0,0,0,410,765,72,95,410,19,1645,673,35,617,3.8768935353104332,1.4478344356731385,100.23047462680736,3.589543204608492
81,rolanji01,10,1972,0,0,0,0,217,272,19,17,216,9,357,161,34,229,3.2176165803108807,1.3012583271650628,109.00143006956439,4.263347890451517
82,culpra01,11,1973,0,0,0,2,322,1411,122,101,322,1,1677,755,188,752,3.5794556628621597,1.2795434591747146,97.60822102596474,3.6093676909569803
83,robindo01,15,1992,0,4,1,0,556,1251,109,106,524,57,1894,824,175,643,3.786893617021277,1.2954893617021277,101.88491627892654,3.897442042553191
84,abernte02,14,1972,0,2,0,0,681,765,63,69,681,148,1010,441,70,592,3.4583212314841707,1.3958756898054023,105.16612766692369,4.197174557072321
85,martiti01,14,1988,0,0,1,1,548,632,55,42,546,115,732,320,53,425,3.4532374100719423,1.3872901678657075,111.08022922679984,3.785709432454037
86,reuscri01,19,1991,0,4,0,3,579,2015,214,191,557,5,3588,1330,221,935,3.373414748708314,1.2746829497416627,112.76276289035569,3.5208684828558012
87,birddo01,11,1983,0,0,0,0,432,680,73,60,432,60,1273,538,122,296,3.9895633067838507,1.2927767096951388,94.68211494711325,3.899790716836034
88,hallabi01,12,1938,0,2,3,1,328,856,102,94,324,8,1838,779,71,779,4.028538594139054,1.503734916682628,105.06154293644185,4.331323692779162
89,fitzsfr01,19,1943,0,1,1,0,513,870,217,146,513,13,3335,1257,186,846,3.5093578740564575,1.29697032364802,117.45738653856074,4.164663530141661
90,frommar01,10,1915,0,0,0,0,252,638,80,90,252,4,1297,464,37,530,2.9040333796940194,1.2705146036161334,98.0655290687971,3.4380044042651834
91,higbeki01,12,1950,0,1,0,2,418,971,118,101,418,24,1763,800,117,979,3.6878948267030904,1.4044732798360935,105.84221004762608,4.704767287006999
92,brownmo01,14,1916,1,4,2,0,492,1375,239,130,481,49,2708,725,43,673,2.0568456446359145,1.0657770305768623,138.09724353660056,2.595743826836188
93,blassst01,10,1974,0,0,1,1,296,896,103,76,282,2,1558,644,128,597,3.6285475792988313,1.3491235392320535,96.73033068762086,3.6107291318864774
94,shawje01,12,2001,0,2,0,2,633,545,34,54,633,203,821,334,91,234,3.544811320754717,1.2441037735849056,122.49390098501384,4.668025550314466
95,osteecl01,18,1975,0,0,1,3,588,1612,196,195,541,1,3471,1268,249,940,3.297948174549658,1.2747326847124554,109.78361330996555,3.5172868702437143
96,davisdi01,10,1926,0,0,0,0,240,460,75,71,239,2,1311,581,63,688,3.9653690596562186,1.5159251769464106,85.55399919576166,4.538178210313449
97,shirlbo01,11,1987,0,0,0,0,434,790,67,94,434,18,1432,608,127,543,3.82122905027933,1.3791899441340782,102.12354198584445,4.028612662942272
98,matlajo01,13,1983,0,2,0,3,362,1516,125,126,361,3,2276,835,161,638,3.180279305966991,1.2331781633516716,116.86531188800377,3.058998730427423
99,hamilst01,12,1972,0,0,0,0,425,531,40,31,421,42,556,225,51,214,3.0542986425339365,1.1613876319758674,116.00995334595956,3.389095022624433
100,gladdfr01,13,1973,0,0,0,0,450,394,48,34,450,109,566,209,38,223,3.129783693843594,1.3128119800332778,113.77418461819428,3.2920826400443706
101,danfoda01,10,1925,0,0,1,0,287,484,71,66,286,23,1235,512,45,455,3.8853288364249576,1.4249578414839799,86.41782740559967,3.644039066891512
102,hurstbr01,15,1994,0,0,0,1,380,1689,145,113,379,0,2463,1052,258,740,3.916712630998345,1.3250137892995035,100.05536852459836,3.7438593491450627
103,chrisja01,11,2005,0,0,0,0,529,384,27,26,528,16,409,207,37,217,4.295926210607226,1.4435049961568025,104.14308507700623,4.961794004611837
104,planked01,17,1917,1,4,2,0,625,2246,326,194,623,23,3958,1174,42,1072,2.350263216430637,1.118855193890413,122.55129235041508,2.4493170460443383
105,carltst01,24,1988,1,17,2,10,745,4136,329,244,741,2,4672,1864,414,1833,3.215435727063634,1.246805520061334,115.54536091972287,3.423054625606952
