,playerID,Seasons,Last_season,HoF,Awards,WS_titles,allstars,appearances,G,R,H,HR,RBI,SB,BB,AVG,OBP,SLG,OPS+,wOBA
78,dauerri01,10,1985,0,0,1,0,1243,1140,448,984,43,372,6,297,0.25698615826586574,0.30701754385964913,0.25698615826586574,84.48532210242688,0.29853875689944803
79,demetdo01,11,1967,0,0,1,0,1247,1109,467,912,163,563,22,180,0.264885274469939,0.3040214477211796,0.264885274469939,116.531916292797,0.4246803055100928
80,ferreri01,18,1947,1,0,0,8,1889,1884,687,1692,28,734,29,931,0.28069011280690115,0.3723133484162896,0.28069011280690115,106.57126344247692,0.42338355574687897
81,kleskry01,16,2007,0,0,1,1,1815,1736,874,1564,278,987,91,817,0.2787381928355017,0.3698588090853284,0.2787381928355017,130.14140065158992,0.381591008089608
82,phillbu02,10,1964,0,0,0,0,1130,1062,348,835,62,356,25,182,0.25472849298352657,0.2940516273849607,0.25472849298352657,83.9693073612351,0.2960502569960023
83,russebi01,18,1986,0,1,1,3,2288,2181,796,1926,46,627,167,483,0.2631866630226838,0.3048628428927681,0.2631866630226838,83.99894944682538,0.30069352351580575
84,suhrgu01,11,1940,0,1,0,1,1438,1435,714,1446,84,818,53,718,0.2793663060278207,0.36299883119051596,0.2793663060278207,115.42554140196816,0.3962630420054201
85,burnsge01,15,1925,0,4,1,0,1864,1853,1188,2077,41,611,383,872,0.286838834415136,0.36056235607805115,0.286838834415136,118.39559450675164,0.3597036490969407
86,mccraqu01,12,2006,0,0,0,0,1079,999,359,675,21,244,89,229,0.27416734362307066,0.32853544440446203,0.27416734362307066,86.43774123144034,0.3401889996308601
87,coxbi02,11,1955,0,0,0,0,1119,1058,470,974,66,351,42,298,0.26239224137931033,0.313403577554521,0.26239224137931033,96.86522958938501,0.32398084100522523
88,kingmda01,16,1986,0,2,0,3,2027,1941,901,1575,442,1210,85,608,0.23588437921222105,0.3009826356171759,0.23588437921222105,119.47684859521131,0.41136003269309357
89,cabelen01,15,1986,0,0,0,0,1894,1688,753,1647,60,596,238,259,0.2767137096774194,0.305996192893401,0.2767137096774194,92.32235568854747,0.3254532927415478
90,donovpa01,17,1907,0,0,1,0,1818,1824,1321,2256,16,738,518,457,0.300599600266489,0.342143906020558,0.300599600266489,106.12424976838372,0.3961855811062773
91,lemonch01,16,1990,0,0,1,3,2054,1988,973,1875,215,884,58,749,0.27300524170064067,0.35251524390243905,0.27300524170064067,124.3059516406511,0.36030028292181066
92,brunato01,14,1994,0,0,1,1,1840,1800,804,1543,271,919,69,770,0.245349022102083,0.3268238248012275,0.245349022102083,112.76060236021932,0.41304116324810336
93,slaglji01,10,1908,0,0,1,0,1299,1300,781,1343,2,344,274,619,0.2683316683316683,0.3434850320124589,0.2683316683316683,107.30691429797625,0.3563346909863644
94,lavagco01,10,1947,0,1,0,4,1060,1043,487,945,40,486,63,485,0.2693074950128242,0.35701906412478335,0.2693074950128242,107.66575664133615,0.3471123315027459
95,turnete01,17,1919,0,0,0,0,1660,1659,699,1499,8,528,256,435,0.25316669481506504,0.29558425953739864,0.25316669481506504,92.05989653647855,0.30624616588419407
96,pafkoan01,17,1959,0,5,1,5,1916,1852,844,1796,213,976,38,561,0.28544183089637637,0.34628522630230574,0.28544183089637637,123.6929399944279,0.39583378982268996
97,hoagmy01,13,1945,0,0,3,1,1050,1020,384,854,28,401,59,252,0.2713695583095011,0.32302802658191276,0.2713695583095011,92.95973858954103,0.39399091175608325
98,jacksre01,21,1987,1,13,4,14,2887,2820,1551,2584,563,1702,228,1375,0.2619626926196269,0.3552032235459005,0.2619626926196269,140.42479117113334,0.38471002758252515
99,ryanja01,13,1913,0,0,0,0,624,616,245,476,4,189,32,85,0.21715328467153286,0.24398625429553264,0.21715328467153286,56.74853994694469,0.25318388791593693
100,dealch01,10,1921,0,0,1,0,850,851,295,752,11,318,65,135,0.2566552901023891,0.27793167128347185,0.2566552901023891,82.65657370030755,0.3105040571243103
101,martiti02,16,2005,0,2,4,2,2061,2023,1009,1925,339,1271,27,780,0.2707073548024188,0.34361014420686226,0.2707073548024188,117.08289867215562,0.3594853683148336
102,walketo04,12,2007,0,0,0,0,1334,1288,647,1316,107,545,66,421,0.2889767237593325,0.34678536102868446,0.2889767237593325,106.29279565610057,0.4412768338996601
103,jahajo01,10,2001,0,0,0,1,846,826,470,730,141,490,36,430,0.26306306306306304,0.3683409436834094,0.26306306306306304,121.24849479671687,0.3698897058823529
104,beaumgi01,12,1910,0,0,0,0,1450,1463,955,1759,39,617,254,425,0.3107773851590106,0.3524916414583665,0.3107773851590106,134.28672473444888,0.3633556827473426
105,russejo02,10,1993,0,0,0,0,505,448,113,245,34,129,3,84,0.22539098436062557,0.2817493692178301,0.22539098436062557,82.98976876458606,0.2944550847457627
106,johnsbo01,13,1945,0,1,0,8,1873,1863,1239,2051,288,1283,96,1075,0.2963872832369942,0.39145022989934136,0.2963872832369942,151.7224367715802,0.41117545828656943
107,caldeiv01,10,1993,0,0,0,1,956,924,470,901,104,444,97,306,0.27204106280193235,0.332244008714597,0.27204106280193235,116.95100631149487,0.37927475247524756
108,laryly01,12,1940,0,0,0,0,1320,1302,805,1239,38,526,162,705,0.26917227894851187,0.36301622418879054,0.26917227894851187,100.8796757081666,0.43158391149446834
109,kennete02,14,1991,0,1,0,4,1567,1491,474,1313,113,628,6,365,0.26370757180156656,0.31248847076185204,0.26370757180156656,96.88422076876229,0.3196395633352155
110,gamblos01,17,1985,0,0,0,0,1735,1584,656,1195,200,666,47,610,0.26543758329631273,0.3555897633249952,0.26543758329631273,130.82837389924896,0.4005787624438805
111,mostijo01,10,1929,0,3,0,0,994,972,618,1054,23,376,176,415,0.3005417735956658,0.375732421875,0.3005417735956658,122.9738837193432,0.37978782565130254
112,gilliba01,10,1888,0,0,1,0,533,521,215,386,3,167,8,147,0.20697050938337802,0.2649105367793241,0.20697050938337802,73.30214909438428,0.2549095427435388
113,lemonji01,12,1963,0,0,0,2,1028,1010,446,901,164,529,13,363,0.26153846153846155,0.33126614987080105,0.26153846153846155,120.03477756000352,0.37812925877763326
114,medwijo01,17,1948,1,22,1,10,1986,1984,1198,2471,205,1383,42,437,0.3236411263916176,0.36035372144436256,0.3236411263916176,141.91065962629824,0.45531044702395657
115,cooledu01,13,1905,0,0,0,0,1323,1317,849,1579,26,557,224,366,0.29415052160953803,0.33566791937137,0.29415052160953803,107.07106893695442,0.37307368786930833
116,foxne01,19,1965,1,9,0,15,2378,2367,1279,2663,35,790,76,719,0.2884532062391681,0.34051599188327375,0.2884532062391681,98.88775601154336,0.32691657606009683
117,zeileto01,16,2004,0,0,0,0,2207,2158,986,2004,253,1110,53,945,0.2646243232536643,0.3458203260492542,0.2646243232536643,107.12556169513023,0.45335478240633
118,raridbi01,12,1920,0,0,1,0,977,982,272,682,7,272,47,340,0.2370524852276677,0.31316187594553707,0.2370524852276677,88.44343475686243,0.30637739938080494
